"x"
"base"
"boot"
"class"
"cluster"
"codetools"
"compiler"
"curl"
"datasets"
"devtools"
"digest"
"foreign"
"git2r"
"graphics"
"grDevices"
"grid"
"httr"
"jsonlite"
"KernSmooth"
"lattice"
"MASS"
"Matrix"
"memoise"
"methods"
"mgcv"
"mime"
"nlme"
"nnet"
"openssl"
"parallel"
"R6"
"rpart"
"rstudioapi"
"spatial"
"splines"
"stats"
"stats4"
"survival"
"tcltk"
"tools"
"utils"
"whisker"
"withr"
